spelling,dim_type,nmorph,double_checked,dec_criterion
aardigheidje,undecided,0,0,unassigned
afdankertje,undecided,0,0,unassigned
afstapje,undecided,0,0,unassigned
aftelrijmpje,undecided,0,0,unassigned
aftelversje,undecided,0,0,unassigned
afzakkertje,undecided,0,0,unassigned
akkefietje,undecided,0,0,unassigned
allegaartje,undecided,0,0,unassigned
apartje,undecided,0,0,unassigned
apennootje,undecided,0,0,unassigned
apenstaartje,undecided,0,0,unassigned
askruisje,undecided,0,0,unassigned
aspirientje,undecided,0,0,unassigned
avontuurtje,undecided,0,0,unassigned
babbeltje,undecided,0,0,unassigned
bakerpraatje,undecided,0,0,unassigned
balletje,undecided,0,0,unassigned
bandje,undecided,0,0,unassigned
bedankje,undecided,0,0,unassigned
bedeltje,undecided,0,0,unassigned
beertje,undecided,0,0,unassigned
begijntje,undecided,0,0,unassigned
beschuitje,undecided,0,0,unassigned
besje,undecided,0,0,unassigned
beukennootje,undecided,0,0,unassigned
bidprentje,undecided,0,0,unassigned
bierblikje,undecided,0,0,unassigned
biertje,undecided,0,0,unassigned
bierviltje,undecided,0,0,unassigned
bijbaantje,undecided,0,0,unassigned
binnenpretje,undecided,0,0,unassigned
bintje,undecided,0,0,unassigned
blaadje,undecided,0,0,unassigned
bleekneusje,undecided,0,0,unassigned
blikje,undecided,0,0,unassigned
bloedje,undecided,0,0,unassigned
bloemetje,undecided,0,0,unassigned
blondje,undecided,0,0,unassigned
blootje,undecided,0,0,unassigned
bolletje,undecided,0,0,unassigned
bonje,undecided,0,0,unassigned
bontje,undecided,0,0,unassigned
bosje,undecided,0,0,unassigned
boterbriefje,undecided,0,0,unassigned
botje,undecided,0,0,unassigned
briesje,undecided,0,0,unassigned
broekje,undecided,0,0,unassigned
broekventje,undecided,0,0,unassigned
broodje,undecided,0,0,unassigned
bruidsmeisje,undecided,0,0,unassigned
buikje,undecided,0,0,unassigned
bushokje,undecided,0,0,unassigned
buskaartje,undecided,0,0,unassigned
buurmeisje,undecided,0,0,unassigned
cursiefje,undecided,0,0,unassigned
